date,Vancouver,Victoria,Whitehorse
2023-05-01,11.25,11.65,7.5
2023-04-30,12.3,11.5,9.05
2023-04-29,15.25,12.95,8.25
2023-04-28,11.3,13.8,4.4
2023-04-27,9.75,11.15,3.89
2023-04-26,11.25,10,1.65
2023-04-25,10.45,8.94,0.64
2023-04-24,8.25,8.4,3.1
2023-04-23,9.8,9.75,4.34
2023-04-22,9.39,9.19,2.5
2023-04-21,8.15,8,1.7
2023-04-20,6.8,4.89,2.15
2023-04-19,7.95,6.4,2.85
2023-04-18,7.45,6.19,1.55
2023-04-17,6.15,5.6,-0.9
2023-04-16,8.5,7.35,1.2
2023-04-15,8.55,7.9,0.95
2023-04-14,6.05,6.55,1.85
2023-04-13,7.1,5.65,-0.04
2023-04-12,5.19,7.9,-1.25
2023-04-11,8,7.8,-3.9
2023-04-10,7.69,6.69,-0.9
2023-04-09,9.3,8.3,2.45
2023-04-08,8.35,8.1,0.25
2023-04-07,11.25,10.7,2.04
2023-04-06,8.8,9.5,2.29
2023-04-05,5.85,4.3,0.45
2023-04-04,6.19,4.5,-4.59
2023-04-03,4.75,4.55,-4.55
2023-04-02,5.09,4.65,-5.09
2023-04-01,6.8,6.15,-1.35
2023-03-31,6.55,5.94,0.1
2023-03-30,7.44,7.65,-3.7
2023-03-29,7.44,9.8,-3.3
2023-03-28,8.5,8.75,-1.95
2023-03-27,5.9,6.9,-7.6
2023-03-26,4.59,4.34,-8.05
2023-03-25,4.5,4.25,-4.4
2023-03-24,5.65,4.95,-1
2023-03-23,7.9,7,1.25
2023-03-22,6.45,7.5,-1.7
2023-03-21,8.6,8.65,-1.95
2023-03-20,8.65,8.5,1.04
2023-03-19,6.8,9.14,2.45
2023-03-18,7.85,8,0.84
2023-03-17,4.75,6.15,1.55
2023-03-16,3.5,5.09,-1.85
2023-03-15,5.25,6.25,-11
2023-03-14,5.85,5.45,-15.5
2023-03-13,7.4,6.69,-14.3
2023-03-12,6.15,3.25,-20.39
2023-03-11,5.94,6.15,-16.95
2023-03-10,5.3,6.19,-11.4
2023-03-09,6.6,6.85,-14.64
2023-03-08,4.8,4.3,-20.14
2023-03-07,6.5,5,-14.95
2023-03-06,6.55,6.3,-22.6
2023-03-05,5.3,6,-20.39
2023-03-04,3.7,4.75,-15.2
2023-03-03,4.3,3.05,-13.45
2023-03-02,5.6,5.15,-12.55
2023-03-01,2.25,2.44,-11.1
2023-02-28,1.85,2.1,-23.85
2023-02-27,1.9,1.8,-20.95
2023-02-26,3.15,2.9,-19.14
2023-02-25,-1.2,-1.35,-13.45
2023-02-24,-3.85,-2.1,-13.75
2023-02-23,-1.1,-1.35,-21.55
2023-02-22,0.3,0.25,-17.05
2023-02-21,4.95,6,-12.45
2023-02-20,7.55,9.35,-10.85
2023-02-19,6.69,6.15,-6.55
