glacier_id,lon,lat
RGI60-02.00273,-122.615,49.8774
RGI60-02.00274,-122.604,49.878
RGI60-02.00275,-122.712,49.881
RGI60-02.00276,-122.735,49.8871
RGI60-02.00277,-116.398,49.8934
RGI60-02.00278,-122.561,49.8741
RGI60-02.00279,-122.547,49.8786
RGI60-02.00280,-122.573,49.8862
RGI60-02.00281,-122.655,49.8923
RGI60-02.00282,-122.602,49.892
RGI60-02.00283,-122.702,49.8753
RGI60-02.00284,-122.695,49.883
RGI60-02.00285,-122.714,49.8941
RGI60-02.00286,-122.71,49.888
RGI60-02.00287,-122.229,49.8963
RGI60-02.00288,-122.991,49.8417
RGI60-02.00289,-123.003,49.867
RGI60-02.00290,-123.008,49.8508
RGI60-02.00291,-122.965,49.841
RGI60-02.00292,-122.978,49.8597
RGI60-02.00293,-122.961,49.8905
RGI60-02.00294,-123.007,49.8475
RGI60-02.00295,-122.963,49.8798
RGI60-02.00296,-122.979,49.8876
RGI60-02.00297,-123.734,49.8959
RGI60-02.00298,-122.743,49.8976
RGI60-02.00299,-122.741,49.888
RGI60-02.00300,-122.765,49.8744
RGI60-02.00301,-122.739,49.8914
RGI60-02.00302,-122.76,49.8846
RGI60-02.00303,-122.744,49.8797
RGI60-02.00304,-122.751,49.8738
RGI60-02.00305,-123.459,49.8958
RGI60-02.00306,-123.467,49.896
RGI60-02.00307,-123.476,49.9008
RGI60-02.00308,-122.83,49.9081
RGI60-02.00309,-122.924,49.9055
RGI60-02.00310,-122.235,49.9085
RGI60-02.00311,-122.751,49.9066
RGI60-02.00312,-122.742,49.9095
RGI60-02.00313,-122.79,49.9121
RGI60-02.00314,-122.734,49.912
RGI60-02.00315,-122.201,49.9142
RGI60-02.00316,-116.389,49.9172
RGI60-02.00317,-122.176,49.9156
RGI60-02.00318,-122.26,49.9224
RGI60-02.00319,-122.232,49.9201
RGI60-02.00320,-122.221,49.9181
RGI60-02.00321,-122.243,49.9231
RGI60-02.00322,-122.78,49.9292
RGI60-02.00323,-123.546,49.9281
RGI60-02.00324,-123.549,49.9284
RGI60-02.00325,-122.128,49.924
RGI60-02.00326,-122.116,49.9138
RGI60-02.00327,-122.857,49.9289
RGI60-02.00328,-122.849,49.9263
RGI60-02.00329,-122.156,49.9311
RGI60-02.00330,-123.589,49.9289
RGI60-02.00331,-122.852,49.9342
RGI60-02.00332,-122.849,49.9326
RGI60-02.00333,-122.701,49.9371
RGI60-02.00334,-122.897,49.8879
RGI60-02.00335,-122.938,49.9088
RGI60-02.00336,-122.953,49.9151
RGI60-02.00337,-122.912,49.9001
RGI60-02.00338,-122.856,49.9144
RGI60-02.00339,-122.858,49.9187
RGI60-02.00340,-122.851,49.9202
RGI60-02.00341,-122.861,49.8802
RGI60-02.00342,-122.868,49.8876
RGI60-02.00343,-122.896,49.9093
RGI60-02.00344,-122.884,49.8896
RGI60-02.00345,-122.953,49.9365
RGI60-02.00346,-123.457,49.9107
RGI60-02.00347,-123.48,49.925
RGI60-02.00348,-116.375,49.9381
RGI60-02.00349,-122.753,49.9424
RGI60-02.00350,-122.749,49.9427
RGI60-02.00351,-122.73,49.9508
RGI60-02.00352,-123.008,49.9574
RGI60-02.00353,-122.802,49.9437
RGI60-02.00354,-122.779,49.9437
RGI60-02.00355,-122.824,49.9087
RGI60-02.00356,-122.769,49.9298
RGI60-02.00357,-122.763,49.9372
RGI60-02.00358,-122.811,49.9232
RGI60-02.00359,-122.796,49.9385
RGI60-02.00360,-122.795,49.92
RGI60-02.00361,-117.503,49.9574
RGI60-02.00362,-116.423,49.9584
RGI60-02.00363,-116.566,49.9576
RGI60-02.00364,-116.56,49.9613
RGI60-02.00365,-122.287,49.9614
RGI60-02.00366,-122.921,49.946
RGI60-02.00367,-122.931,49.9556
RGI60-02.00368,-122.95,49.9462
RGI60-02.00369,-122.906,49.9383
RGI60-02.00370,-122.918,49.9276
RGI60-02.00371,-122.981,49.9636
RGI60-02.00372,-116.577,49.9588
RGI60-02.00373,-116.583,49.9609
RGI60-02.00374,-123.367,49.9652
RGI60-02.00375,-122.278,49.966
RGI60-02.00376,-116.587,49.9666
RGI60-02.00377,-122.989,49.9609
RGI60-02.00378,-122.748,49.9634
RGI60-02.00379,-122.705,49.9521
RGI60-02.00380,-122.717,49.9498
RGI60-02.00381,-122.723,49.96
RGI60-02.00382,-122.974,49.9674
RGI60-02.00383,-122.98,49.9698
RGI60-02.00384,-122.273,49.969
RGI60-02.00385,-122.277,49.9702
RGI60-02.00386,-122.722,49.9695
RGI60-02.00387,-122.762,49.9694
RGI60-02.00388,-122.984,49.9739
RGI60-02.00389,-123.55,49.9748
RGI60-02.00390,-115.259,49.9754
RGI60-02.00391,-116.704,49.9735
RGI60-02.00392,-122.222,49.9746
RGI60-02.00393,-122.722,49.9798
RGI60-02.00394,-116.72,49.9812
RGI60-02.00395,-116.714,49.9802
RGI60-02.00396,-122.238,49.9844
RGI60-02.00397,-116.589,49.9803
RGI60-02.00398,-122.274,49.9785
RGI60-02.00399,-122.245,49.9819
RGI60-02.00400,-122.248,49.983
RGI60-02.00401,-116.732,49.9876
RGI60-02.00402,-122.619,49.9895
RGI60-02.00403,-123.58,49.9795
RGI60-02.00404,-123.607,49.9897
RGI60-02.00405,-123.61,49.982
RGI60-02.00406,-122.639,49.9781
RGI60-02.00407,-122.663,49.9808
RGI60-02.00408,-123.382,49.9938
RGI60-02.00409,-122.645,49.992
RGI60-02.00410,-116.444,49.9914
RGI60-02.00411,-122.681,49.9674
RGI60-02.00412,-122.697,49.9785
RGI60-02.00413,-122.723,49.9944
RGI60-02.00414,-123.443,49.9952
RGI60-02.00415,-122.245,49.9939
RGI60-02.00416,-122.235,49.9899
RGI60-02.00417,-115.247,50.006
RGI60-02.00418,-123.479,50.0071
RGI60-02.00419,-115.26,50.0083
RGI60-02.00420,-126.668,50.0086
RGI60-02.00421,-122.676,50.0109
RGI60-02.00422,-126.675,50.0152
RGI60-02.00423,-122.789,50.0008
RGI60-02.00424,-122.798,50.0084
RGI60-02.00425,-122.818,50.0063
RGI60-02.00426,-122.82,50.0113
RGI60-02.00427,-122.685,50.0152
RGI60-02.00428,-122.153,50.0202
RGI60-02.00429,-116.65,50.0222
RGI60-02.00430,-116.638,50.0228
RGI60-02.00431,-122.793,50.0229
RGI60-02.00432,-116.662,50.026
RGI60-02.00433,-122.147,50.0259
RGI60-02.00434,-122.801,50.0268
RGI60-02.00435,-122.139,50.0262
RGI60-02.00436,-122.72,50.0272
RGI60-02.00437,-122.716,50.0248
RGI60-02.00438,-116.745,50.0269
RGI60-02.00439,-122.847,50.0117
RGI60-02.00440,-122.835,50.0201
RGI60-02.00441,-116.754,50.031
RGI60-02.00442,-122.38,50.0305
RGI60-02.00443,-122.373,50.0303
RGI60-02.00444,-116.76,50.0313
RGI60-02.00445,-122.794,50.032
RGI60-02.00446,-116.469,50.0327
RGI60-02.00447,-123.261,50.035
RGI60-02.00448,-122.178,50.0337
RGI60-02.00449,-122.165,50.0285
RGI60-02.00450,-116.466,50.0367
RGI60-02.00451,-126.68,50.0328
